id,tipo,acao,cidade,bairro,dorm,suite,vaga,preco,imobiliaria
121,Casa,Venda,São Luís/MA,COHAB Anil IV,4,2,2,380000,Pereira Feitosa
122,Apartamento,Venda,São Luís/MA,Forquilha,3,1,1,150000,Pereira Feitosa
123,Apartamento,Venda,São Luís/MA,Jardim Renascença,4,2,2,750000,Pereira Feitosa
124,Casa,Venda,São Luís/MA,Calhau,5,5,4,2800000,Pereira Feitosa
125,Casa,Venda,São Luís/MA,Alameda dos Sonhos,2,0,5,200000,Pereira Feitosa
126,Apartamento,Venda,São Luís/MA,Jardim São Francisco,3,3,3,1200000,Pereira Feitosa
127,Casa,Venda,São Luís/MA,Jardim São Francisco,4,1,4,550000,Pereira Feitosa
128,Apartamento,Venda,São Luís/MA,Jardim Renascença,4,2,2,600000,Pereira Feitosa
129,Casa,Venda,São Luís/MA,Centro,3,0,1,180000,Pereira Feitosa
130,Apartamento,Venda,São Luís/MA,Calhau,3,3,0,1150000,Pereira Feitosa
131,Apartamento,Venda,São Luís/MA,Quintas do Calhau,0,0,0,135000,Pereira Feitosa
132,Casa,Venda,São Luís/MA,Parque Smithland,7,3,10,1500000,Pereira Feitosa
133,Apartamento,Venda,São Luís/MA,Jardim Renascença,0,0,0,1300000,Pereira Feitosa
134,Apartamento,Venda,São Luís/MA,Jardim São Francisco,1,1,0,175000,Pereira Feitosa
135,Apartamento,Venda,São José de Ribamar/MA,Araçagy,2,1,1,210000,Pereira Feitosa
136,Casa,Venda,São Luís/MA,Monte Castelo,4,2,2,300000,Pereira Feitosa
137,Apartamento,Venda,São Luís/MA,Jardim Renascença,2,1,1,300000,Pereira Feitosa
138,Apartamento,Venda,São Luís/MA,Calhau,2,2,3,1000000,Pereira Feitosa
139,Casa,Venda,São Luís/MA,Parque Universitário,4,2,5,500000,Pereira Feitosa
140,Casa,Venda,São Luís/MA,Anil,5,2,1,450000,Pereira Feitosa
141,Casa,Venda,São Luís/MA,Planalto Pingão,3,0,0,260000,Pereira Feitosa
142,Apartamento,Venda,São Luís/MA,Turu,1,1,1,145000,Pereira Feitosa
143,Apartamento,Venda,São Luís/MA,Centro,4,0,2,700000,Pereira Feitosa
144,Casa,Venda,São Luís/MA,Araçagi,3,1,4,370000,Pereira Feitosa
145,Apartamento,Venda,São Luís/MA,Cutim,2,0,0,140000,Pereira Feitosa
146,Apartamento,Venda,São Luís/MA,Jardim São Francisco,2,1,0,550000,Pereira Feitosa
147,Casa,Venda,São Luís/MA,Turu,3,1,0,450000,Pereira Feitosa
148,Apartamento,Venda,São Luís/MA,Jardim Renascença,3,3,2,640000,Pereira Feitosa
149,Apartamento,Venda,São Luís/MA,Ponta D Areia,4,4,0,1800000,Pereira Feitosa
150,Casa,Venda,São Luís/MA,Centro,0,0,0,600000,Pereira Feitosa
151,Apartamento,Venda,São Luís/MA,Renascença,2,1,2,450000,Pereira Feitosa
152,Casa,Venda,São Luís/MA,Cohama,2,1,2,480000,Pereira Feitosa
153,Apartamento,Venda,São Luís/MA,Cohaserma,2,0,1,170000,Pereira Feitosa
154,Casa,Venda,São Luís/MA,Anil,3,0,0,250000,Pereira Feitosa
155,Apartamento,Venda,São Luís/MA,Jardim Coelho Neto,4,3,2,400000,Pereira Feitosa
156,Casa,Venda,São Luís/MA,Vinhais,3,2,4,420000,Pereira Feitosa
157,Apartamento,Venda,São Luís/MA,São Marcos,3,3,2,1100000,Pereira Feitosa
158,Apartamento,Venda,São José de Ribamar/MA,Araçagy,1,1,1,170000,Pereira Feitosa
159,Casa,Venda,São Luís/MA,Calhau,3,3,3,1300000,Pereira Feitosa
160,Apartamento,Venda,São José de Ribamar/MA,Renascer,1,1,0,155000,Pereira Feitosa
161,Casa,Venda,São Luís/MA,Jardim América,3,0,1,160000,Pereira Feitosa
162,Apartamento,Venda,São Luís/MA,Jardim Renascença,4,4,0,1300000,Pereira Feitosa
163,Apartamento,Venda,São Luís/MA,Cohafuma,2,0,1,150000,Pereira Feitosa
164,Casa,Venda,São Luís/MA,Olho D Água,0,0,0,2000000,Pereira Feitosa
165,Casa,Venda,São Luís/MA,Olho D Água,0,0,3,1800000,Pereira Feitosa
166,Casa,Venda,São Luís/MA,Jardim Renascença,3,0,3,800000,Pereira Feitosa
167,Casa,Venda,São Luís/MA,Anil,4,3,0,470000,Pereira Feitosa
168,Casa,Venda,São Luís/MA,Anil,4,2,4,440000,Pereira Feitosa
169,Casa,Venda,São Luís/MA,Anil,4,1,0,570000,Pereira Feitosa
170,Apartamento,Venda,São Luís/MA,Quintas do Calhau,1,0,0,800,Pereira Feitosa
171,Casa,Venda,São Luís/MA,Cohatrac,2,1,3,200000,Pereira Feitosa
172,Casa,Venda,São Luís/MA,Alto do Calhau,2,1,4,550000,Pereira Feitosa
173,Casa,Venda,São José de Ribamar/MA,Jardim Aracagy,2,1,0,210000,Pereira Feitosa
174,Apartamento,Venda,São Luís/MA,Jardim São Francisco,3,1,1,220000,Pereira Feitosa
175,Casa,Venda,São Luís/MA,Parque Timbiras,2,1,0,390000,Pereira Feitosa
176,Apartamento,Venda,São Luís/MA,Cohafuma,1,1,1,210000,Pereira Feitosa
177,Apartamento,Venda,São Luís/MA,São Francisco,2,0,0,170000,Pereira Feitosa
178,Apartamento,Venda,São Luís/MA,Jardim São Francisco,2,1,1,320000,Pereira Feitosa
179,Casa,Venda,São Luís/MA,Parque Athenas,2,2,6,590000,Pereira Feitosa
180,Apartamento,Venda,São Luís/MA,Vila Palmeira,2,1,1,200000,Pereira Feitosa
181,Casa,Venda,São Luís/MA,Maranhão Novo,4,1,2,280000,Pereira Feitosa
182,Casa,Venda,São Luís/MA,Parque Aurora,2,1,3,380000,Pereira Feitosa
183,Apartamento,Venda,São Luís/MA,Jardim Renascença,4,0,3,800000,Pereira Feitosa
184,Apartamento,Venda,São Luís/MA,Cohafuma,3,0,1,250000,Pereira Feitosa
185,Apartamento,Venda,São Luís/MA,Jardim Renascença,2,1,1,550000,Pereira Feitosa
186,Casa,Venda,São Luís/MA,Turu,2,0,2,650000,Pereira Feitosa
187,Apartamento,Venda,São Luís/MA,Calhau,2,1,1,320000,Pereira Feitosa
188,Apartamento,Venda,São Luís/MA,Calhau,1,1,1,300000,Pereira Feitosa
189,Apartamento,Venda,São Luís/MA,Calhau,2,1,1,260000,Pereira Feitosa
190,Apartamento,Venda,São Luís/MA,Ponta da areia,2,2,2,3600,Pereira Feitosa
191,Apartamento,Venda,São Luís/MA,Jardim Renascença,3,3,2,660000,Pereira Feitosa
